Date,Open,High,Low,Close,Adj Close,Volume
2018-07-11,null,null,null,null,null,null
2018-07-12,null,null,null,null,null,null
2018-07-13,null,null,null,null,null,null
2018-07-16,null,null,null,null,null,null
2018-07-17,null,null,null,null,null,null
2018-07-18,null,null,null,null,null,null
2018-07-19,null,null,null,null,null,null
2018-07-20,null,null,null,null,null,null
2018-07-23,null,null,null,null,null,null
2018-07-24,null,null,null,null,null,null
2018-07-25,18.700001,25.000000,18.500000,25.000000,25.000000,13709500
2018-07-26,24.745001,24.850000,20.299999,21.010000,21.010000,3628300
2018-07-27,21.200001,23.000000,21.200001,22.600000,22.600000,1320700
2018-07-30,22.750000,24.000000,22.650000,23.850000,23.850000,1236300
2018-07-31,24.030001,26.430000,22.750000,23.049999,23.049999,2603400
2018-08-01,23.670000,24.799999,22.600000,23.500000,23.500000,952900
2018-08-02,23.500000,25.120001,23.500000,24.500000,24.500000,683500
2018-08-03,24.629999,27.100000,24.500000,26.799999,26.799999,904200
2018-08-06,27.070000,29.875000,26.900000,27.940001,27.940001,1523400
2018-08-07,28.660000,28.749001,27.129999,27.450001,27.450001,907300
2018-08-08,27.889999,28.250000,26.500000,28.150000,28.150000,1160200
2018-08-09,28.000000,28.030001,26.600000,26.719999,26.719999,402900
2018-08-10,26.840000,28.000000,26.299999,27.650000,27.650000,431500
2018-08-13,27.650000,27.650000,24.709999,24.760000,24.760000,711300
2018-08-14,25.100000,25.863001,25.000000,25.510000,25.510000,300800
2018-08-15,25.799999,25.799999,22.780001,22.910000,22.910000,822300
2018-08-16,23.500000,23.920000,22.900000,23.129999,23.129999,567400
2018-08-17,23.629999,23.629999,22.190001,22.200001,22.200001,601900
2018-08-20,22.000000,23.106001,21.750000,22.420000,22.420000,1187700
2018-08-21,22.850000,25.799999,22.610001,25.270000,25.270000,1267400
2018-08-22,25.020000,27.500000,24.799999,27.000000,27.000000,884000
2018-08-23,27.209999,29.500000,27.191999,29.280001,29.280001,1313200
2018-08-24,29.250000,33.250000,29.240999,30.910000,30.910000,1597600
2018-08-27,29.000000,30.440001,28.160000,28.690001,28.690001,1370200
2018-08-28,28.620001,30.590000,28.500000,29.549999,29.549999,668600
2018-08-29,29.690001,29.750000,28.610001,29.150000,29.150000,520400
2018-08-30,28.870001,29.020000,28.110001,28.750000,28.750000,527500
2018-08-31,28.400000,30.180000,28.070000,29.950001,29.950001,494800
2018-09-04,30.000000,30.049999,28.132999,28.500000,28.500000,652000
2018-09-05,28.190001,28.629999,26.355000,28.209999,28.209999,543000
2018-09-06,28.000000,28.840000,28.000000,28.700001,28.700001,241500
2018-09-07,28.639999,31.129999,28.084999,30.580000,30.580000,646300
2018-09-10,31.330000,31.450001,27.360001,29.049999,29.049999,1018900
2018-09-11,29.000000,29.540001,27.860001,29.260000,29.260000,362400
2018-09-12,29.410000,32.090000,29.139999,31.910000,31.910000,503500
2018-09-13,31.910000,33.889999,30.549999,31.680000,31.680000,929500
2018-09-14,31.219999,31.299999,28.900000,29.580000,29.580000,641100
2018-09-17,29.450001,30.371000,28.719999,29.000000,29.000000,290100
2018-09-18,28.940001,29.920000,28.900000,29.920000,29.920000,295100
2018-09-19,30.030001,31.059999,28.969999,29.250000,29.250000,458800
2018-09-20,29.549999,30.549000,29.396999,30.010000,30.010000,224000
2018-09-21,30.049999,33.049999,29.940001,30.950001,30.950001,1701200
2018-09-24,31.000000,32.750000,30.660000,32.250000,32.250000,399400
2018-09-25,32.549999,34.880001,32.509998,34.080002,34.080002,535800
2018-09-26,34.599998,36.590000,34.250000,35.799999,35.799999,584600
2018-09-27,36.000000,38.000000,33.230000,33.599998,33.599998,870100
2018-09-28,33.720001,35.520000,33.009998,34.080002,34.080002,431700
2018-10-01,34.180000,34.480999,32.000000,32.270000,32.270000,318200
2018-10-02,32.299999,32.910000,30.170000,30.219999,30.219999,379900
2018-10-03,30.379999,30.920000,29.100000,30.250000,30.250000,527200
2018-10-04,30.240000,30.450001,28.240000,28.340000,28.340000,554300
2018-10-05,28.340000,29.368999,26.110001,27.370001,27.370001,724900
2018-10-08,27.370001,27.370001,25.200001,27.070000,27.070000,680100
2018-10-09,26.870001,27.650999,26.010000,26.100000,26.100000,381600
2018-10-10,25.940001,28.500000,25.250000,27.540001,27.540001,819300
2018-10-11,27.209999,28.010000,25.610001,27.379999,27.379999,505700
2018-10-12,27.500000,28.340000,26.271000,26.680000,26.680000,270500
2018-10-15,26.309999,26.896999,25.650000,26.600000,26.600000,214200
2018-10-16,26.480000,27.799999,26.480000,27.180000,27.180000,318500
2018-10-17,27.180000,27.670000,27.030001,27.320000,27.320000,230600
2018-10-18,27.000000,27.370001,25.370001,25.570000,25.570000,262600
2018-10-19,25.360001,26.080000,25.209999,25.510000,25.510000,293900
2018-10-22,25.610001,26.000000,24.030001,24.150000,24.150000,365300
2018-10-23,23.879999,24.112000,21.959999,23.820000,23.820000,507600
2018-10-24,23.820000,24.420000,23.500000,23.920000,23.920000,458900
2018-10-25,23.980000,24.110001,22.709999,23.440001,23.440001,458600
2018-10-26,23.129999,23.910000,22.100000,22.170000,22.170000,456200
2018-10-29,22.230000,23.020000,21.801001,22.030001,22.030001,352400
2018-10-30,21.959999,23.030001,21.539000,22.980000,22.980000,375300
2018-10-31,23.670000,24.950001,23.260000,23.750000,23.750000,505300
2018-11-01,23.969999,24.260000,23.639999,23.740000,23.740000,233300
2018-11-02,24.020000,24.180000,22.719999,22.959999,22.959999,400000
2018-11-05,22.900000,23.580000,22.049999,23.010000,23.010000,373200
2018-11-06,20.950001,20.950001,17.110001,17.250000,17.250000,2812000
2018-11-07,17.770000,18.629999,17.260000,18.010000,18.010000,1307500
2018-11-08,17.959999,18.440001,17.916000,18.090000,18.090000,434300
2018-11-09,17.940001,19.809999,17.940001,19.450001,19.450001,929300
2018-11-12,19.400000,19.870001,19.000000,19.700001,19.700001,329500
2018-11-13,19.410000,19.870001,18.299999,18.510000,18.510000,535300
2018-11-14,18.520000,19.000000,17.110001,17.290001,17.290001,847900
2018-11-15,17.000000,17.250000,15.280000,15.460000,15.460000,847500
2018-11-16,15.770000,16.879999,15.770000,16.040001,16.040001,629600
2018-11-19,16.070000,16.320000,14.500000,14.500000,14.500000,688400
2018-11-20,14.050000,14.810000,13.365000,14.550000,14.550000,773100
2018-11-21,14.810000,15.120000,14.550000,14.670000,14.670000,359900
2018-11-23,14.590000,15.040000,14.500000,14.990000,14.990000,105400
2018-11-26,15.190000,15.400000,14.430000,14.700000,14.700000,281700
2018-11-27,14.750000,14.850000,14.300000,14.500000,14.500000,236200
2018-11-28,14.500000,15.500000,14.500000,15.450000,15.450000,293500
2018-11-29,15.000000,17.799999,15.000000,17.260000,17.260000,729700
2018-11-30,17.250000,17.260000,16.059999,16.450001,16.450001,342800
2018-12-03,16.860001,17.000000,15.940000,16.500000,16.500000,250500
2018-12-04,16.629999,16.629999,15.330000,15.390000,15.390000,225000
2018-12-06,15.100000,15.800000,14.890000,15.620000,15.620000,192500
2018-12-07,15.530000,16.100000,15.310000,15.870000,15.870000,231600
2018-12-10,15.840000,17.340000,15.710000,17.170000,17.170000,424600
2018-12-11,17.209999,17.280001,15.540000,15.650000,15.650000,403300
2018-12-12,15.640000,16.010000,15.120000,15.440000,15.440000,236900
2018-12-13,15.240000,15.300000,14.080000,14.400000,14.400000,479000
2018-12-14,14.290000,14.620000,13.850000,14.120000,14.120000,343500
2018-12-17,14.100000,14.160000,12.750000,12.750000,12.750000,564500
2018-12-18,12.950000,13.041000,11.750000,12.000000,12.000000,578600
2018-12-19,11.670000,12.840000,10.800000,11.150000,11.150000,485900
2018-12-20,11.270000,11.550000,10.100000,10.220000,10.220000,387500
2018-12-21,10.330000,10.590000,9.420000,10.080000,10.080000,739300
2018-12-24,10.040000,10.185000,9.610000,9.900000,9.900000,228300
2018-12-26,10.040000,10.950000,9.420000,10.780000,10.780000,618800
2018-12-27,10.950000,11.015000,10.180000,10.960000,10.960000,373000
2018-12-28,11.140000,11.730000,10.530000,10.830000,10.830000,632600
2018-12-31,10.900000,11.040000,9.750000,9.980000,9.980000,609500
2019-01-02,9.910000,10.686000,9.750000,10.120000,10.120000,606400
2019-01-03,10.150000,10.780000,9.871000,10.470000,10.470000,386100
2019-01-04,10.800000,12.740000,10.600000,11.830000,11.830000,659800
2019-01-07,11.860000,13.240000,11.860000,12.410000,12.410000,391600
2019-01-08,13.000000,13.250000,12.470000,12.730000,12.730000,329500
2019-01-09,12.800000,13.630000,12.010000,12.140000,12.140000,643500
2019-01-10,12.090000,12.380000,11.660000,12.020000,12.020000,474500
2019-01-11,11.840000,12.690000,11.810000,12.240000,12.240000,387700
2019-01-14,12.480000,12.560000,11.940000,12.150000,12.150000,174300
2019-01-15,12.130000,13.400000,12.053000,12.590000,12.590000,442400
2019-01-16,13.220000,13.350000,12.650000,12.820000,12.820000,253000
2019-01-17,12.860000,13.480000,12.600000,13.110000,13.110000,436600
2019-01-18,13.190000,13.420000,12.580000,12.670000,12.670000,494300
2019-01-22,12.380000,12.420000,11.400000,12.020000,12.020000,727800
2019-01-23,11.890000,12.080000,11.820000,12.000000,12.000000,237900
2019-01-24,12.130000,12.155000,11.400000,11.580000,11.580000,663600
2019-01-25,11.710000,11.990000,11.290000,11.530000,11.530000,570800
2019-01-28,11.190000,11.490000,10.610000,10.700000,10.700000,937500
2019-01-29,10.500000,10.550000,9.750000,9.880000,9.880000,1265200
2019-01-30,9.890000,9.921000,9.120000,9.210000,9.210000,1234700
2019-01-31,9.090000,9.530000,8.880000,9.450000,9.450000,2517300
2019-02-01,9.540000,10.880000,9.400000,10.230000,10.230000,1714500
2019-02-04,10.300000,11.270000,10.300000,10.760000,10.760000,1245200
2019-02-05,10.900000,10.940000,10.020000,10.690000,10.690000,1415600
2019-02-06,11.010000,11.940000,10.010000,10.160000,10.160000,3706800
2019-02-07,10.280000,10.570000,10.000000,10.350000,10.350000,1285700
2019-02-08,10.450000,10.450000,9.810000,10.060000,10.060000,860800
2019-02-11,10.090000,10.300000,9.320000,9.410000,9.410000,801100
2019-02-12,9.490000,9.750000,9.330000,9.600000,9.600000,840000
2019-02-13,10.150000,11.100000,9.870000,11.000000,11.000000,2450400
2019-02-14,10.950000,12.170000,10.640000,11.690000,11.690000,2769300
2019-02-15,11.690000,11.690000,10.930000,11.310000,11.310000,1510300
2019-02-19,11.200000,11.430000,10.695000,11.130000,11.130000,1087600
2019-02-20,11.160000,12.605000,10.810000,12.360000,12.360000,1162200
2019-02-21,12.350000,13.310000,12.250000,12.920000,12.920000,2488900
2019-02-22,13.010000,14.320000,13.010000,14.020000,14.020000,1977000
2019-02-25,14.380000,15.000000,13.980000,13.980000,13.980000,1507300
2019-02-26,13.900000,14.830000,13.600000,14.700000,14.700000,1055400
2019-02-27,14.650000,14.660000,13.700000,13.800000,13.800000,967800
2019-02-28,13.660000,14.510000,13.600000,14.470000,14.470000,715100
2019-03-01,14.540000,16.480000,14.470000,16.299999,16.299999,1801800
2019-03-04,16.510000,16.629999,14.600000,15.130000,15.130000,1272400
2019-03-05,15.010000,15.570000,15.010000,15.260000,15.260000,601800
2019-03-06,15.130000,15.210000,14.025000,14.120000,14.120000,986800
2019-03-07,14.220000,14.580000,13.320000,14.280000,14.280000,755100
2019-03-08,13.860000,14.082000,13.050000,13.500000,13.500000,609500
2019-03-11,13.340000,15.360000,13.210000,14.300000,14.300000,1504400
2019-03-12,14.240000,14.830000,13.750000,13.870000,13.870000,1103200
2019-03-13,13.930000,14.200000,13.150000,13.270000,13.270000,1474800
2019-03-14,13.250000,13.252000,12.520000,12.530000,12.530000,1077300
